rank,gene,variance_log2,mean_log2
431,AKR1C2,6.261501413119187,5.980112512575155
432,UGT8,6.254311394905216,4.010862314829993
433,CPLX2,6.246893123506877,1.2006244352715012
434,FGFBP1,6.245222697338163,2.113676722081656
435,HP,6.23991532410977,3.5286388581120516
436,NKX2-2,6.239641233784732,1.7099689331935206
437,CTNND2,6.238502567298229,6.8332509112610085
438,MAGEA1,6.232774876708037,1.4292618626631137
439,APOD,6.232073163378568,10.98152994859549
440,FUT6,6.231068209659256,3.2482599006991295
441,ABCA8,6.209954283707319,5.528470069819391
442,RASAL1,6.209050522008281,4.632920830120417
443,OGN,6.208833537637465,7.2858888778544015
444,DEFB1,6.203003776356046,4.145477167783446
445,FAT2,6.198403199819512,6.21988423479873
446,ABCC12,6.197633131263268,2.4107191391838207
447,SCARA5,6.1942349921386475,3.979488050640795
448,PLAC9P1,6.190727107536365,2.410438690907479
449,CECR2,6.187243771453459,4.070470792841841
450,MMP10,6.18462467830769,4.677203905247981
451,PCSK1,6.183123223675556,3.915091417290355
452,SCNN1G,6.174047401950133,5.70035658857139
453,DACH1,6.172791098863046,7.944741024508616
454,TMEM40,6.1695902501558715,4.066628609184357
455,NOVA1,6.160300426064134,6.65371476434852
456,RBP4,6.152362794965413,5.395748021396084
457,CLGN,6.147667503649458,7.2449706609676445
458,FGF10,6.147368398061615,2.837481057658167
459,GRM4,6.143931536630661,5.337938938989504
460,SCGN,6.143222287198236,2.142540977523105
461,PIK3C2G,6.141802674935815,4.2204082411569885
462,CCL18,6.1394068881790655,5.429328053071238
463,LY6K,6.133333186365386,5.553504340209372
464,C2orf40,6.1250288177684,4.104333643016329
465,CD79A,6.1092323501427375,6.189393316585339
466,C1orf106,6.09099822476467,7.2938759460101386
467,ADAMTS15,6.084304077161411,7.053118400516004
468,AQP7,6.078182675634787,3.8539831361474604
469,TPSD1,6.074667680863022,3.210420346293747
470,GPRIN2,6.072664365137583,5.482688950093853
471,IRX4,6.053144556010156,4.003897010262254
472,PLIN5,6.049595662531092,6.22132871883673
473,PAH,6.049103442099366,2.8761644284107515
474,GJB3,6.047856411456169,3.997160094827549
475,B3GNT3,6.043365936264852,5.264720026465826
476,CLSTN2,6.035371769970439,9.050038049139962
477,NMU,6.034417240080425,2.6600707791561553
478,CPA6,6.030003998879454,2.4492250343988693
479,FCRL5,6.0234717817973955,4.612825619465692
480,ADAMTS19,6.0215393779263655,3.249380758809399
481,SHC4,6.018275372673061,4.808901658394981
482,PCOLCE2,6.008903380673275,4.947906355619389
483,SLC1A1,6.007861366052828,7.976816860139037
484,TMEM132C,6.0042063269789505,3.635189294318309
485,TNFSF12-TNFSF13,6.000212736170581,5.9728976891702406
486,FLT3,5.9994433224327,5.4365525304702
487,EMX1,5.988221048859722,3.060664378273328
488,MAOB,5.977593061822942,9.448258999820853
489,IRX1,5.975538460063769,5.578192917943415
490,ADAM6,5.97489546205203,13.595291811064614
491,PSAT1,5.9746659243529,6.423560681107088
492,DLGAP1,5.9701542021968015,4.04068814260016
493,AFP,5.965437461288155,2.1174515782267362
494,LOC440905,5.962476287482642,5.749744433047694
495,GATA4,5.958994578597266,1.6603980888216243
496,COL9A3,5.95592572408495,5.32820513482338
497,CD300LG,5.95270695916939,3.844697281497933
498,SEMA3E,5.952389362977263,6.522150494542302
499,AFAP1-AS1,5.950390561383058,3.3426948298873786
500,MAGEA4,5.946465585202292,1.0544624001924403
